ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
537fbce7c01c4b006cd40d24e3050a55	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
3e822970134dbbd9c2f9a207895a4e22	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 Serendipitaceae	 Serendipita	 Serendipita_sp
53789c8d537831727792b4c0d36024b9	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Melanommataceae	 Herpotrichia	 Herpotrichia_pinetorum
5f09428f3f28ed82677cceff59ed2790	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	 Hyaloscypha_variabilis
ef6b94e82690332bcf0f65df3548c028	Fungi	 Basidiomycota	 Agaricomycetes	 Auriculariales	 Auriculariales_fam_Incertae_sedis	 Auriculariales_gen_Incertae_sedis	 Auriculariales_sp
db5f4aad5a1fd8a3c4fd65ff82325f33	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Phaeosphaeriaceae	 Ophiosphaerella	 Ophiosphaerella_sp
1633ae6c7bf2adb386db5b0f0fcf7d9c	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
f540ccee601531387d9894cf5d3b0469	Fungi	 Ascomycota	 Dothideomycetes	 Dothideomycetes_ord_Incertae_sedis	 Dothideomycetes_fam_Incertae_sedis	 Dothideomycetes_gen_Incertae_sedis	 Dothideomycetes_sp
0c2e1f37f67fc165645df752fe62fde4	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales			
dfab6c5c0428b39b5bd6ad45ee138b23	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora_sp
68c153b7ee824af512cb2acce6f14e34	Fungi	 Basidiomycota	 Agaricomycetes	 Cantharellales	 Ceratobasidiaceae	 Ceratobasidium	 Ceratobasidium_sp
5f3f1dcc06e5184fc037d39b9b706c07	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Capronia	 Capronia_sp
b7a87855d02e4b178662eea7aa3379c0	Fungi	 Basidiomycota	 Agaricomycetes	 Russulales	 Russulaceae	 Russula	 Russula_sp
33815258abddd79da5193448807e6c4d	Fungi	 Basidiomycota	 Cystobasidiomycetes	 Cystobasidiales	 Cystobasidiaceae	 Occultifur	 Occultifur_sp
c8031e0db2d4b306a1402d3d48fbc7c5	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae	 Alatospora	 Alatospora_sp
2330ba42ef479702481fd0a0655c324a	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 Serendipitaceae	 Serendipita	 Serendipita_sp
b5c1e7400cc56fa311e0ff9b0b36b4d5	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella_sp
