	observed_features	chao1	shannon_entropy	pielou_evenness	faith_pd
NT04-PM07-R-16s-2022	64	66.5	5.381533385	0.896922231	12.39725961
NT04-PM08-R-16s-2022	63	63.6	5.255749643	0.879287855	16.98192893
NT04-PM09-R-16s-2022	122	130.5714286	6.239433523	0.900255372	25.72643471
NT04-PM10-R-16s-2022	141	145	6.69176647	0.937281089	23.19013192
NT05-PM01-R-16s-2022	77	81.09090909	5.228700676	0.834351169	18.43871436
NT05-PM02-R-16s-2022	102	104.7692308	5.755936229	0.86264528	22.98065418
NT05-PM03-R-16s-2022	91	98	5.847356188	0.898515782	17.76037017
NT05-PM04-R-16s-2022	251	261.6363636	7.299423739	0.91568511	26.80343984
NT05-PM08-R-16s-2022	51	61	4.981195692	0.878142134	11.13837212
NT05-PM09-R-16s-2022	60	62	5.119381	0.866679502	14.42647001
NT05-PM10-R-16s-2022	58	58.5	5.340715888	0.911699081	11.95796571
NT10-PM01-R-16s-2022	69	72.5	5.043645494	0.825673291	16.09479109
NT10-PM02-R-16s-2022	74	75.66666667	5.388366828	0.867768306	16.44659813
NT10-PM03-R-16s-2022	104	104.6666667	6.224194233	0.928923249	16.11977747
NT10-PM04-R-16s-2022	99	105.1111111	5.937246193	0.895599156	17.3320519
NT10-PM08-R-16s-2022	79	83.5	5.405782726	0.857546121	17.74665636
NT10-PM09-R-16s-2022	46	46.33333333	4.808174747	0.870484442	11.43254412
DT01-PM10-R-16s-2022	70	74.5	5.237493216	0.854503406	16.12558781
DT01-PM11-R-16s-2022	41	41	4.456366219	0.8317915	10.95902435
DT01-PM13-R-16s-2022	41	41	4.75307115	0.887172191	11.09334575
DT01-PM14-R-16s-2022	51	52.5	4.810300364	0.848014751	14.26803735
DT03-PM01-R-16s-2022	71	71.33333333	5.744317901	0.934073839	14.6209094
DT03-PM03-R-16s-2022	96	97.2	5.84565473	0.887727869	18.73548755
DT03-PM07-R-16s-2022	90	90.25	5.725304183	0.881921402	19.19495685
DT03-PM08-R-16s-2022	88	91	5.740166138	0.888648797	17.46044121
DT03-PM10-R-16s-2022	52	52	5.018502531	0.880371126	13.06409108
DT06-PM09-R-16s-2022	57	57	5.181870816	0.888388227	12.07417909
NT06-PM01-R-16s-2022	46	46.16666667	4.514114026	0.817246925	10.26878007
NT06-PM02-R-16s-2022	42	42	4.579723115	0.849305179	10.18489868
NT06-PM04-R-16s-2022	104	107.2727273	6.100851044	0.910515026	18.28260156
NT06-PM06-R-16s-2022	71	71.33333333	5.683141461	0.924126041	14.49765968
NT06-PM09-R-16s-2022	41	41	4.614404263	0.861289682	11.5793483
NT06-PM10-R-16s-2022	84	89.25	5.904738195	0.923724184	15.96677507
NT07-PM04-R-16s-2022	46	46	5.111931488	0.925477351	9.985191537
NT07-PM08-R-16s-2022	46	46	4.873216436	0.882259758	11.44237612
NT07-PM09-R-16s-2022	56	58	5.039127564	0.867714757	12.67170482
NT07-PM10-R-16s-2022	47	47	4.910346635	0.884016219	10.40074157
NT08-PM06-R-16s-2022	38	38	4.513002663	0.859959032	11.11531433
NT08-PM08-R-16s-2022	40	40	4.635121321	0.870947754	9.572885664
NT09-PM02-R-16s-2022	48	48.33333333	4.762570826	0.852748935	10.45197824
NT09-PM03-R-16s-2022	63	63	5.502529534	0.920574175	13.39719038
NT09-PM06-R-16s-2022	54	54	5.221833504	0.907373689	12.14996192
DT04-PM01-R-16s-2022	39	39	4.92352242	0.931532212	8.572334289
DT04-PM02-R-16s-2022	107	111.6666667	6.045532554	0.896768102	17.99309633
DT04-PM03-R-16s-2022	84	85.25	5.652730608	0.884300674	15.71973869
DT04-PM06-R-16s-2022	78	79.2	5.6235524	0.894700483	18.41606454
DT04-PM07-R-16s-2022	73	74	5.535394365	0.894273224	14.98382251
DT04-PM09-R-16s-2022	96	113	5.648257474	0.857750894	18.95538249
DT04-PM10-R-16s-2022	76	77.5	5.521907701	0.883798298	14.49014123
DT08-PM01-R-16s-2022	44	45	4.861941473	0.890558178	10.53694613
DT09-PM01-R-16s-2022	47	47.2	4.844740974	0.872205145	11.34603062
DT09-PM06-R-16s-2022	66	66.75	5.333627499	0.882408955	13.86427657
DT09-PM07-R-16s-2022	130	133.1111111	6.510211958	0.927067925	22.68625973
DT09-PM08-R-16s-2022	111	112.6666667	6.260458194	0.921412277	20.60431969
DT09-PM09-R-16s-2022	135	136.3636364	6.564648788	0.927627504	19.1688771
DT10-PM01-R-16s-2022	65	66.5	5.171393738	0.858697758	10.84390994
DT10-PM03-R-16s-2022	111	116.1428571	6.202930495	0.912945368	22.24454462
DT10-PM05-R-16s-2022	57	57.1	4.452909928	0.763414005	13.7957996
DT10-PM06-R-16s-2022	61	61.2	5.310277544	0.895382352	10.48973394
DT10-PM07-R-16s-2022	61	61	5.111738457	0.861906061	11.3103933
DT10-PM08-R-16s-2022	50	50	4.924757865	0.872587412	11.78048382
DT10-PM09-R-16s-2022	81	85.66666667	5.649958458	0.891181724	14.36544431
DT10-PM10-R-16s-2022	129	144.3	6.362673264	0.907497793	21.68596124
DT06-PM08-S-16s-2022	138	139.6153846	5.770358777	0.811751976	28.9103789
DT06-PM10-S-16s-2022	160	164.125	5.946006391	0.812082052	29.8900512
DT07-PM01-S-16s-2022	191	194.0555556	6.081628093	0.802597851	36.19694157
DT07-PM02-S-16s-2022	116	116.3333333	5.226379275	0.762087162	25.59726805
DT07-PM04-S-16s-2022	111	111.2727273	5.138682585	0.756309694	23.85582045
DT07-PM05-S-16s-2022	120	120.15	5.10191226	0.738669911	26.43758172
DT07-PM08-S-16s-2022	201	207.8	6.440079062	0.841724683	36.38483906
DT08-PM01-S-16s-2022	146	147.5555556	5.866283477	0.81591469	30.02430093
DT08-PM03-S-16s-2022	130	131.875	5.605863848	0.798286845	27.26079624
DT08-PM04-S-16s-2022	119	120.3636364	5.42395901	0.786671845	26.71693929
DT08-PM05-S-16s-2022	142	142.1111111	6.42364009	0.898442977	26.68537206
DT08-PM06-S-16s-2022	244	249.9130435	6.63436859	0.836538686	42.35741781
DT08-PM07-S-16s-2022	170	180.5	6.142628024	0.829032788	32.12607566
DT08-PM08-S-16s-2022	192	195.1428571	6.495191806	0.856324841	32.4324748
DT08-PM09-S-16s-2022	142	142.3529412	6.096513337	0.852689366	25.03255129
DT08-PM10-S-16s-2022	106	106	5.201119125	0.773064896	23.30842104
DT09-PM01-S-16s-2022	115	117.5454545	5.297681464	0.773893677	25.39885386
DT09-PM02-S-16s-2022	86	86	5.67572973	0.883208201	17.29614947
